ID;Sex;Age;State;Account length;Phone number;Plans;Number vmail messages;Total day minutes;Total day calls;Total day charge;Total eve minutes;Total eve calls;Total eve charge;Total night minutes;Total night calls;Total night charge;Total intl minutes;Total intl calls;Total intl charge;Total charge;Customer service calls;Churn
40075;Female;37.0;KS;128;415 424 17 55;Voice mail;25;265.1;110.0;45.07;197.4;99.0;16.78;244.7;91.0;11.01;10.0;3.0;2.7;75.56;1;False
17475;Female;;OH;107;415 759 41 43;Voice mail;26;161.6;123.0;27.47;195.5;103.0;16.62;254.4;103.0;11.45;13.7;3.0;3.7;59.24;1;False
62242;Female;19.0;NJ;137;415 213 11 40;None;0;243.4;114.0;41.38;121.2;110.0;10.3;l62.6;104.0;7.32;12.2;5.0;3.29;62.29;0;False
81231;Female;31.0;OH;84;408 487 53 35;International;0;299.4;71.0;50.9;61.9;88.0;5.26;196.9;89.0;8.86;6.6;7.0;1.78;66.8;2;False
78542;Female;30.0;OK;75;415 509 25 27;International;0;166.7;113.0;28.34;148.3;122.0;12.61;186.9;121.0;8.41;10.1;3.0;2.73;52.09;3;False
87274;Male;;AL;118;510 597 52 71;International;0;223.4;98.0;37.98;220.6;101.0;18.75;203.9;118.0;9.18;6.3;6.0;1.7;67.61;0;False
12533;Male;44.0;MA;121;510 526 41 29;Voice mail;24;218.2;88.0;37.09;348.5;108.0;29.62;212.6;118.0;9.57;7.5;7.0;2.03;78.31;3;False
47149;Female;29.0;MO;147;415 752 19 10;International;0;157.0;79.0;26.69;103.1;94.0;8.76;211.8;96.0;9.53;7.1;6.0;1.92;46.9;0;False
88008;Female;;LA;117;408 513 89 26;None;0;184.5;97.0;31.37;351.6;80.0;29.89;215.8;90.0;9.71;8.7;4.0;2.35;73.32;1;False
68141;Female;35.0;WV;141;415 202 71 38;International, Voice mail;37;258.6;84.0;43.96;222.0;111.0;18.87;326.4;97.0;14.69;11.2;5.0;3.02;80.54;0;False
92481;Female;;IN;65;415 319 16 15;None;0;129.1;137.0;21.95;228.5;83.0;19.42;208.8;111.0;9.4;12.7;6.0;3.43;54.2;4;True
17134;Female;41.0;RI;74;415 427 24 82;None;0;187.7;127.0;31.91;163.4;148.0;13.89;196.0;94.0;8.82;9.1;5.0;2.46;57.08;0;False
23212;Male;31.0;IA;168;408 666 50 52;None;0;128.8;96.0;21.9;104.9;71.0;8.92;141.1;128.0;6.35;11.2;2.0;3.02;40.19;1;False
41582;Male;22.0;MT;95;510 226 30 57;;0;156.6;88.0;26.62;247.6;75.0;21.05;192.3;115.0;8.65;12.3;5.0;3.32;59.64;3;False
76794;Male;30.0;IA;62;415 607 69 34;;0;120.7;70.0;20.52;307.2;76.0;26.11;203.0;99.0;9.14;13.1;6.0;3.54;59.31;4;False
66612;Male;25.0;NY;161;415 212 71 10;None;0;499.35;100.5;84.88;476.7;145.5;40.52;240.9;192.0;10.84;8.1;13.5;2.19;1.3843 hundred;4;True
22311;Male;45.0;ID;85;408 413 85 40;Voice mail;27;196.4;139.0;33.39;280.9;90.0;23.88;89.3;75.0;4.02;13.8;4.0;3.73;65.02;1;False
71503;Male;46.0;VT;93;510 418 56 92;;0;190.7;114.0;32.42;218.2;111.0;18.55;129.6;121.0;5.83;8.1;3.0;2.19;58.99;3;False
17801;Male;37.0;VA;76;510 354 24 31;Voice mail;33;189.7;66.0;32.25;212.8;65.0;18.09;165.7;108.0;7.46;10.0;5.0;2.7;60.5;1;False
39671;Female;35.0;TX;73;415 179 88 59;;0;224.4;90.0;38.15;159.5;88.0;13.56;192.8;74.0;8.68;13.0;2.0;3.51;63.9;1;False
62886;Male;41.0;FL;147;415 145 53 73;None;0;155.1;117.0;26.37;239.7;93.0;20.37;208.8;133.0;9.4;10.6;4.0;2.86;59.0;0;False
59269;Female;;CO;77;408 574 65 71;None;0;62.4;89.0;10.61;169.9;121.0;14.44;209.6;64.0;9.43;5.7;6.0;1.54;36.02;5;True
15779;Female;;AZ;130;415 479 17 34;None;0;183.0;112.0;31.11;72.9;99.0;6.2;181.8;78.0;8.18;9.5;19.0;2.57;48.06;0;False
57736;Male;33.0;SC;111;415 113 52 81;None;0;110.4;103.0;18.77;137.3;102.0;11.67;189.6;105.0;8.53;7.7;6.0;2.08;41.05;2;False
85172;Male;37.0;VA;132;510 800 70 69;None;0;81.1;86.0;13.79;245.2;72.0;20.84;237.0;115.0;10.67;10.3;2.0;2.78;48.08;0;False
12104;Male;;NE;174;415 865 60 82;None;0;124.3;76.0;21.13;277.1;112.0;23.55;250.7;115.0;11.28;15.5;5.0;4.19;60.15;3;False
13570;Male;33.0;WY;57;408 311 17 29;Voice mail;39;213.0;115.0;36.21;191.1;112.0;16.24;182.7;115.0;8.22;9.5;3.0;2.57;63.24;0;False
74791;Female;;MT;54;408 856 11 71;None;0;134.3;73.0;22.83;155.5;100.0;13.22;102.1;68.0;4.59;14.7;4.0;3.97;44.61;3;False
35437;Male;38.0;MO;20;415 682 77 37;None;0;190.0;109.0;32.3;258.2;84.0;21.95;181.5;102.0;8.17;6.3;6.0;1.7;64.12;0;False
66481;Female;39.0;HI;49;510 843 44 91;None;0;119.3;117.0;20.28;215.1;109.0;18.28;178.7;90.0;8.04;11.1;1.0;3.0;49.6;1;False
62750;Female;;IL;142;415 781 29 96;None;0;84.8;95.0;14.42;136.7;63.0;11.62;250.5;148.0;11.27;14.2;6.0;3.83;41.14;2;False
18063;Female;;NH;75;510 574 58 29;None;0;226.1;105.0;38.44;201.5;107.0;17.13;246.2;98.0;11.08;10.3;5.0;2.78;69.43;1;False
84129;Female;;LA;172;408 932 45 32;None;0;212.0;121.0;36.04;31.2;115.0;2.65;293.3;78.0;13.2;12.6;10.0;3.4;55.29;3;False
59529;Female;23.0;AZ;12;408 551 49 58;None;0;249.6;118.0;42.43;252.4;119.0;21.45;280.2;90.0;12.61;11.8;3.0;3.19;79.68;1;True
21764;Male;;OK;57;408 438 25 75;Voice mail;25;176.8;94.0;30.06;195.0;75.0;16.58;213.5;116.0;9.61;8.3;4.0;2.24;58.49;0;False
87602;Female;40.0;GA;72;415 238 77 44;Voice mail;37;220.0;80.0;37.4;217.3;102.0;18.47;152.8;71.0;6.88;14.7;6.0;3.97;66.72;3;False
43854;Male;37.0;AK;36;408 689 76 71;Voice mail;30;146.3;128.0;24.87;162.5;80.0;13.81;129.3;109.0;5.82;14.5;6.0;3.92;48.42;0;False
26625;Female;29.0;MA;78;415 935 27 93;None;0;130.8;64.0;22.24;223.7;116.0;19.01;227.8;108.0;10.25;10.0;5.0;2.7;54.2;1;False
85734;Female;38.0;AK;136;415 567 77 85;International, Voice mail;33;203.9;106.0;34.66;187.6;99.0;15.95;101.7;107.0;4.58;10.5;6.0;2.84;58.03;3;False
43803;Female;;NJ;149;408 955 54 21;None;0;140.4;94.0;23.87;271.8;92.0;23.1;188.3;108.0;8.47;11,1;9.0;3.0;58.44;1;False
20247;Female;34.0;GA;98;408 768 23 38;None;0;126.3;102.0;21.47;166.8;85.0;14.18;187.8;135.0;8.45;9.4;2.0;2.54;46.64;3;False
86387;Male;28.0;MD;135;408 763 55 99;International, Voice mail;41;173.1;85.0;29.43;203.9;107.0;17.33;122.2;78.0;5.5;14.6;15.0;3.94;56.2;0;True
60137;Male;;AR;34;510 894 48 79;None;0;124.8;82.0;21.22;282.2;98.0;23.99;311.5;78.0;14.02;10.0;4.0;2.7;61.93;2;False
